world,regionx,regionz,chunkx,chunkz,timeinhabited_ticks,lastupdate_ticks,surface_y,biome_id,is_spawn,dominant_stone,has_lorestone_influence,has_witherstone_influence
minecraft:overworld,-6,0,-180,22,139,null,,,0,,0,0
minecraft:overworld,-6,0,-180,23,130,null,,,0,,0,0
minecraft:overworld,-6,0,-180,24,124,null,,,0,,0,0
minecraft:overworld,-6,0,-180,25,116,null,,,0,,0,0
minecraft:overworld,-6,0,-180,26,3115,null,,,0,,0,0
minecraft:overworld,-6,0,-180,27,16041,null,,,0,,0,0
minecraft:overworld,-6,0,-180,28,6643,null,,,0,,0,0
minecraft:overworld,-6,0,-180,29,14306,null,,,0,,0,0
minecraft:overworld,-6,0,-180,30,17370,null,,,0,,0,0
minecraft:overworld,-6,0,-180,31,21215,null,,,0,,0,0
minecraft:overworld,-6,0,-179,22,53247,null,,,0,,0,0
minecraft:overworld,-6,0,-179,23,46446,null,,,0,,0,0
minecraft:overworld,-6,0,-179,24,601,null,,,0,,0,0
minecraft:overworld,-6,0,-179,25,69327,null,,,0,,0,0
minecraft:overworld,-6,0,-179,26,37044,null,,,0,,0,0
minecraft:overworld,-6,0,-179,27,48412,null,,,0,,0,0
minecraft:overworld,-6,0,-179,28,45269,null,,,0,,0,0
minecraft:overworld,-6,0,-179,29,1530,null,,,0,,0,0
minecraft:overworld,-6,0,-179,30,174,null,,,0,,0,0
minecraft:overworld,-6,0,-179,31,66651,null,,,0,,0,0
minecraft:overworld,-6,0,-178,22,2200,null,,,0,,0,0
minecraft:overworld,-6,0,-178,23,148,null,,,0,,0,0
minecraft:overworld,-6,0,-178,24,698,null,,,0,,0,0
minecraft:overworld,-6,0,-178,25,73280,null,,,0,,0,0
minecraft:overworld,-6,0,-178,26,44035,null,,,0,,0,0
minecraft:overworld,-6,0,-178,27,45226,null,,,0,,0,0
minecraft:overworld,-6,0,-178,28,48952,null,,,0,,0,0
minecraft:overworld,-6,0,-178,29,1919,null,,,0,,0,0
minecraft:overworld,-6,0,-178,30,206,null,,,0,,0,0
minecraft:overworld,-6,0,-178,31,39870,null,,,0,,0,0
minecraft:overworld,-6,0,-177,22,37243,null,,,0,,0,0
minecraft:overworld,-6,0,-177,23,23213,null,,,0,,0,0
minecraft:overworld,-6,0,-177,24,27944,null,,,0,,0,0
minecraft:overworld,-6,0,-177,25,46167,null,,,0,,0,0
minecraft:overworld,-6,0,-177,26,37428,null,,,0,,0,0
minecraft:overworld,-6,0,-177,27,39280,null,,,0,,0,0
minecraft:overworld,-6,0,-177,28,53944,null,,,0,,0,0
minecraft:overworld,-6,0,-177,29,17221,null,,,0,,0,0
minecraft:overworld,-6,0,-177,30,62873,null,,,0,,0,0
minecraft:overworld,-6,0,-177,31,378,null,,,0,,0,0
minecraft:overworld,-6,0,-176,22,28372,null,,,0,,0,0
minecraft:overworld,-6,0,-176,23,47038,null,,,0,,0,0
minecraft:overworld,-6,0,-176,24,49497,null,,,0,,0,0
minecraft:overworld,-6,0,-176,25,30844,null,,,0,,0,0
minecraft:overworld,-6,0,-176,26,40423,null,,,0,,0,0
minecraft:overworld,-6,0,-176,27,58614,null,,,0,,0,0
minecraft:overworld,-6,0,-176,28,33933,null,,,0,,0,0
minecraft:overworld,-6,0,-176,29,471,null,,,0,,0,0
minecraft:overworld,-6,0,-176,30,38537,null,,,0,,0,0
minecraft:overworld,-6,0,-176,31,470,null,,,0,,0,0
minecraft:overworld,-6,0,-175,22,44983,null,,,0,,0,0
minecraft:overworld,-6,0,-175,23,37077,null,,,0,,0,0
minecraft:overworld,-6,0,-175,24,458,null,,,0,,0,0
minecraft:overworld,-6,0,-175,25,2295,null,,,0,,0,0
minecraft:overworld,-6,0,-175,26,9846,null,,,0,,0,0
minecraft:overworld,-6,0,-175,27,16987,null,,,0,,0,0
minecraft:overworld,-6,0,-175,28,2630,null,,,0,,0,0
minecraft:overworld,-6,0,-175,29,469,null,,,0,,0,0
minecraft:overworld,-6,0,-175,30,467,null,,,0,,0,0
minecraft:overworld,-6,0,-175,31,2792,null,,,0,,0,0
minecraft:overworld,-6,0,-174,22,22976,null,,,0,,0,0
minecraft:overworld,-6,0,-174,23,21470,null,,,0,,0,0
minecraft:overworld,-6,0,-174,24,450,null,,,0,,0,0
minecraft:overworld,-6,0,-174,25,455,null,,,0,,0,0
minecraft:overworld,-6,0,-174,26,6833,null,,,0,,0,0
minecraft:overworld,-6,0,-174,27,5208,null,,,0,,0,0
minecraft:overworld,-6,0,-174,28,21267,null,,,0,,0,0
minecraft:overworld,-6,0,-174,29,5705,null,,,0,,0,0
minecraft:overworld,-6,0,-174,30,1193,null,,,0,,0,0
minecraft:overworld,-6,0,-174,31,70497,null,,,0,,0,0
minecraft:overworld,-6,0,-173,22,14951,null,,,0,,0,0
minecraft:overworld,-6,0,-173,23,430,null,,,0,,0,0
minecraft:overworld,-6,0,-173,24,440,null,,,0,,0,0
minecraft:overworld,-6,0,-173,25,3896,null,,,0,,0,0
minecraft:overworld,-6,0,-173,26,440,null,,,0,,0,0
minecraft:overworld,-6,0,-173,27,10061,null,,,0,,0,0
minecraft:overworld,-6,0,-173,28,50171,null,,,0,,0,0
minecraft:overworld,-6,0,-173,29,18613,null,,,0,,0,0
minecraft:overworld,-6,0,-173,30,2615,null,,,0,,0,0
minecraft:overworld,-6,0,-173,31,41138,null,,,0,,0,0
minecraft:overworld,-6,0,-172,22,386,null,,,0,,0,0
minecraft:overworld,-6,0,-172,23,425,null,,,0,,0,0
minecraft:overworld,-6,0,-172,24,431,null,,,0,,0,0
minecraft:overworld,-6,0,-172,25,2190,null,,,0,,0,0
minecraft:overworld,-6,0,-172,26,32967,null,,,0,,0,0
minecraft:overworld,-6,0,-172,27,6932,null,,,0,,0,0
minecraft:overworld,-6,0,-172,28,5369,null,,,0,,0,0
minecraft:overworld,-6,0,-172,29,12087,null,,,0,,0,0
minecraft:overworld,-6,0,-172,30,16892,null,,,0,,0,0
minecraft:overworld,-6,0,-172,31,26028,null,,,0,,0,0
minecraft:overworld,-6,0,-171,22,388,null,,,0,,0,0
minecraft:overworld,-6,0,-171,23,19085,null,,,0,,0,0
minecraft:overworld,-6,0,-171,24,26914,null,,,0,,0,0
minecraft:overworld,-6,0,-171,25,10755,null,,,0,,0,0
minecraft:overworld,-6,0,-171,26,434,null,,,0,,0,0
minecraft:overworld,-6,0,-171,27,1779,null,,,0,,0,0
minecraft:overworld,-6,0,-171,28,10189,null,,,0,,0,0
minecraft:overworld,-6,0,-171,29,25307,null,,,0,,0,0
minecraft:overworld,-6,0,-171,30,18903,null,,,0,,0,0
minecraft:overworld,-6,0,-171,31,13943,null,,,0,,0,0
minecraft:overworld,-6,0,-170,22,3049,null,,,0,,0,0
minecraft:overworld,-6,0,-170,23,22745,null,,,0,,0,0
minecraft:overworld,-6,0,-170,24,2732,null,,,0,,0,0
minecraft:overworld,-6,0,-170,25,417,null,,,0,,0,0
minecraft:overworld,-6,0,-170,26,15046,null,,,0,,0,0
minecraft:overworld,-6,0,-170,27,17379,null,,,0,,0,0
minecraft:overworld,-6,0,-170,28,8249,null,,,0,,0,0
